band,youtube,dance,not in stcpress,notes,purchase
peascod_gatherers,PmKDYGStdEM,bizzaria_damore,,,https://store.cdbaby.com/cd/thepeascodgatherers
peascod_gatherers,Rb5xS6AuMa4,petit_vriens,,,https://store.cdbaby.com/cd/thepeascodgatherers
peascod_gatherers,tY833xcyWeA,official_bransle,,,https://store.cdbaby.com/cd/thepeascodgatherers
peascod_gatherers,LMETQb5vhXg,contrapasso_chigi,,,https://store.cdbaby.com/cd/thepeascodgatherers
peascod_gatherers,Gu4jDWOdeYs,dargason,,,https://store.cdbaby.com/cd/thepeascodgatherers
musica_subterranea,6SH7Y9Ufkr0,official_bransle,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,rPrpuHM1PoU,earl_of_salisbury_pavane,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,0pQ6F8tfACw,black_nag,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,-PFXphMPdUQ,gelosia,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,zaqY_2Uw-PQ,newcastle,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,huic2d2LxWY,rostiboli_gioioso,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,HPpK1MROwvE,horses_bransle,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,RBxqNMjpy8I,rufty_tufty,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,wB-Ct7aUt0Q,petit_vriens,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,hzbMjvMXGz4,parsons_farewell,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,48uFyMuzrWk,hyde_park,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,JE336oik2ms,amoroso,,Long Version,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,eRxreZq2frk,hearts_ease,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,--jfpl68958,half_hannigan,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,bF0vUeHcEmo,anello,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,0npZMh_z1mU,villanicco,,,https://store.cdbaby.com/cd/musicasubterranea1
musica_subterranea,nZvSN2JsvmU,female_sailor,,,https://store.cdbaby.com/cd/musicasubterranea1
